x,Curve3
"0.0428","0.1573"
"0.0857","-0.0801"
"0.2141","0.1098"
"0.3854","0.2047"
"0.5996","0.1454"
"1.0707","-0.0682"
"2.0557","-0.0623"
"3.0835","-0.1454"
"4.0257","-0.1988"
"7.0664","-0.2344"
"14.0043","-0.3887"
"35.1178","-1.4095"
