x,Curve2,Curve3,Curve4,Curve5
"5.78","0.2767",,,
"12.84","0.4951",,,
"26.32","0.3367",,,
"97.56","0.072",,,
"123.23","0.0942",,,
"148.27","-0.1246",,,
"168","-0.0074",,,
"245.19","-0.0131",,,
"336","-0.456",,,
"504.49","-0.7176",,,
