x,Curve3,Curve4,Curve5
"0.868","1.4415",,
"1.919","1.214",,
"3.734","0.7934",,
"8.117","0.2559",,
"12.113","0.0424",,
"24.089","-0.129",,
"47.941","-0.32",,
"92.508","-0.5782",,
