x,Curve5
"5.78","-0.6498"
"13.48","-0.6349"
"98.2","-0.5909"
"122.59","-0.7495"
"148.27","-0.6595"
"168","-0.9355"
"244.54","-1.2033"
"336","-1.69"
"504.49","-2.1564"
